index,Numéro question,Question,Réponse Attendue,Réponse LLM,Score Qualité (LLM),Documents & Scores Distance (Pour le Seuil),Lieux tiré des métadonnées,Date de début tiré des métadonnées,Seuil utilisé min,Nombre de documents utilisés max,Eval Humaine
faiss_index_short,Question 1 :,Quel est le prix des places pour le spectacle 'Le Balcon : Les Lundis Musicaux' ?,Le prix est compris entre 12 et 30€.,"Les places pour les spectacles ""Le Balcon : Les Lundis Musicaux"" coûtent entre 12 et 30€.",0.8328,Doc 3 (Score: 0.7889999747276306) | Doc 64 (Score: 0.7839999794960022) | Doc 16 (Score: 0.781000018119812),Théâtre de l'Athénée Louis-Jouvet | Théâtre de l'Athénée Louis-Jouvet | Théâtre de l'Athénée Louis-Jouvet,2026-03-23T19:00:00+00:00 | 2025-12-22T19:00:00+00:00 | 2026-02-23T19:00:00+00:00,0.5,3,
faiss_index_short,Question 2 :,Qui assure la direction artistique de la pièce 'La Mouche' ?,"C'est la Compagnie Point Fixe, sous la direction de Valérie Lesort et Christian Hecq.",La direction artistique de *La Mouche* est assurée par Valérie Lesort et Christian Hecq.,0.851,Doc 67 (Score: 0.7870000004768372) | Doc 54 (Score: 0.6959999799728394) | Doc 18 (Score: 0.6620000004768372),Théâtre des Bouffes du Nord | Comédie-Française | Théâtre de la Tempête,2025-12-04T19:00:00+00:00 | 2025-09-11T18:30:00+00:00 | 2026-02-05T19:30:00+00:00,0.5,3,
faiss_index_short,Question 3 :,Quelles sont les dates de représentation de 'Kohlhaas' ?,Du 24 mars 2026 au 1er avril 2026.,Les représentations de *Kohlhaas* ont lieu du 24 mars 2026 à 13h30 au 1er avril 2026 à 9h00 au Théâtre Dunois à Paris.,0.8264,Doc 0 (Score: 0.7950000166893005) | Doc 42 (Score: 0.6919999718666077) | Doc 60 (Score: 0.6899999976158142),Théâtre Dunois | Theâtre de Belleville | Comédie-Française,2026-03-24T13:30:00+00:00 | 2026-01-06T20:15:00+00:00 | 2025-11-14T19:30:00+00:00,0.5,3,
faiss_index_short,Question 4 :,"De quoi parle l'exposition 'Soulages, une autre lumière' ?",Elle présente l'œuvre sur papier de Pierre Soulages.,"L'exposition ""Soulages, une autre lumière"" présente l'œuvre sur papier de Pierre Soulages, un aspect important de son parcours artistique. Elle a lieu au Musée du Luxembourg à Paris jusqu'en janvier 2026.",0.8707,Doc 53 (Score: 0.8299999833106995) | Doc 65 (Score: 0.7179999947547913) | Doc 85 (Score: 0.7170000076293945),Musée du Luxembourg | Cité des sciences et de l'Industrie | BARLONE,2025-09-08T08:30:00+00:00 | 2023-11-21T09:00:00+00:00 | 2025-11-29T21:30:00+00:00,0.5,3,
faiss_index_short,Question 5 :,Y a-t-il un événement de recrutement pour la SNCF ?,"Oui, il y a une présentation du métier de Conducteur de Trains le 9 février 2026.","Oui, il y a un événement de recrutement pour la SNCF. Le 9 février 2026 à Paris, une présentation du métier de conducteur de trains et du processus de recrutement est organisée.",0.9332,Doc 26 (Score: 0.7310000061988831) | Doc 81 (Score: 0.6660000085830688) | Doc 30 (Score: 0.6389999985694885),Paris - Agence Argenteuil | Ecole des Mines de Paris | Stephenson Formation,2026-02-09T08:00:00+00:00 | 2025-12-05T17:30:00+00:00 | 2026-02-07T09:00:00+00:00,0.5,3,
faiss_index_short,Question 6 :,Quel compositeur est joué par Les Talens Lyriques dans 'Ascanio in Alba' ?,C'est une œuvre de Mozart.,Le compositeur joué par Les Talens Lyriques dans *Ascanio in Alba* est Mozart.,0.8373,Doc 2 (Score: 0.8190000057220459) | Doc 56 (Score: 0.7440000176429749) | Doc 80 (Score: 0.7390000224113464),Théâtre des Champs Elysées | Salle Cortot | Auditorium du Louvre,2026-03-25T18:30:00+00:00 | 2026-01-10T14:30:00+00:00 | 2025-12-05T19:00:00+00:00,0.5,3,
faiss_index_short,Question 7 :,Quels spectacles peut-on voir en mars 2026 ?,"En mars 2026, il y a 'Kohlhaas', 'Moi, Elles', 'Ascanio in Alba', 'Maison de Poupée' et 'Le Balcon'.",Aucun spectacle n'est mentionné pour mars 2026 dans les événements fournis.,0.846,Doc 41 (Score: 0.6790000200271606) | Doc 36 (Score: 0.6610000133514404) | Doc 84 (Score: 0.6589999794960022),Cité Internationale Universitaire de Paris | Théâtre des Gémeaux parisiens | Théâtre du Châtelet,2026-01-29T07:30:00+00:00 | 2025-10-27T19:30:00+00:00 | 2025-11-30T10:00:00+00:00,0.5,3,
faiss_index_short,Question 8 :,Je cherche un spectacle lyrique ou un opéra. Que proposes-tu ?,Tu peux voir 'Ascanio in Alba' (Mozart) ou 'L'homme qui aimait les chiens' (opéra de chambre).,"Je te propose ""Les Talens Lyriques - Louis XIV au crépuscule"" à la Salle Cortot le 10 janvier 2026 à 14h30. Malheureusement, les tarifs ne sont pas précisés.",0.7977,Doc 36 (Score: 0.7099999785423279) | Doc 84 (Score: 0.7099999785423279) | Doc 56 (Score: 0.7089999914169312),Théâtre des Gémeaux parisiens | Théâtre du Châtelet | Salle Cortot,2025-10-27T19:30:00+00:00 | 2025-11-30T10:00:00+00:00 | 2026-01-10T14:30:00+00:00,0.5,3,
faiss_index_short,Question 9 :,Y a-t-il des événements gratuits ou sur inscription ?,"Oui, 'Kohlhaas' est sur réservation (experts DRAC) et 'Moi, Elles' est sur inscription.","Oui, il y a un événement gratuit : la Journée Portes Ouvertes dédiées aux métiers du tourisme et de l'hôtellerie à Stephenson Formation. Pour le Tour de contes à la Grande Mosquée de Paris, il faut réserver via HelloAsso. Les autres événements ne sont pas gratuits.",0.751,Doc 30 (Score: 0.6330000162124634) | Doc 84 (Score: 0.6209999918937683) | Doc 9 (Score: 0.6169999837875366),Stephenson Formation | Théâtre du Châtelet | mosquée de parisM,2026-02-07T09:00:00+00:00 | 2025-11-30T10:00:00+00:00 | 2026-03-17T18:30:00+00:00,0.5,3,
faiss_index_short,Question 10 :,Quels sont les concerts de musique classique disponibles ?,"Il y a les concerts des 'Talens Lyriques', 'Le Balcon' (récital Contes) et 'Les Cris de Paris'.","Les concerts de musique classique disponibles sont :

1. **Le Balcon : Les Lundis Musicaux - Contes** avec Sandrine Piau et David Kadouch, le 23 mars 2026.
2. **Le Balcon : Les Lundis Musicaux - A New Declaration** avec Kunal Lahiry et Jarrett Ott, le 12 janvier 2026.

Le concert de Noël n'est pas mentionné comme étant de musique classique.",0.867,Doc 3 (Score: 0.7110000252723694) | Doc 64 (Score: 0.7099999785423279) | Doc 52 (Score: 0.6949999928474426),Théâtre de l'Athénée Louis-Jouvet | Théâtre de l'Athénée Louis-Jouvet | Théâtre de l'Athénée Louis-Jouvet,2026-03-23T19:00:00+00:00 | 2025-12-22T19:00:00+00:00 | 2026-01-12T19:00:00+00:00,0.5,3,
